Domain;Phylum;Class;Order;Family;Genus;Species
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;sp
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;sphaericus
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;varians
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;antibioticus
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;capsici
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;enzymogenes
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;gummosus
Viruses;X;X;X;X;Macacine;herpesvirus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus;canis
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus;caseolyticus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus;sp
Fungi;Ascomycota;Sordariomycetes;Sordariales;X;Madurella;mycetomatis
Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;Mageeibacillus;indolicus
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Mageeibacillus;sp
Fungi;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Magnaporthe;grisea
Fungi;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Magnaporthe;oryzae
Bacteria;Proteobacteria;Magnetococci;unclassified;unclassified;Magnetococcus;sp
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospira;sp
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;gryphiswaldense
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;magneticum
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;magnetotacticum
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;sp
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Magnusiomyces;ingens
Fungi;Dikarya;Ascomycota;Saccharomycetales;Dipodascaceae;Magnusiomyces;capitatus
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;FamilyIV;Mahella;australiensis
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales;Mahella;sp
Fungi;Badidiomycota;Exobasidiomycetes;Malasseziales;Malasseziaceae;Malassezia;restricta
Fungi;Basidiomycota;Exobasidiomycetes;Malasseziales;Malasseziaceae;Malassezia;globosa
Fungi;Basidiomycota;Exobasidiomycetes;Malasseziales;Malasseziacease;Malessezia;globosa
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;haemolytica
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;sp
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;succiniciproducens
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;varigena
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Maribacter;bacterium
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter;cobaltidurans
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter;sp
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Maricaulis;maris
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;purpuratum
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;sp
Bacteria;Thermi;Thermi;Thermales;Thermaceae;Marinithermus;sp
